,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00089170,90,11,4,1,5,1,-,-,4,13,21,11,4,5,9,1,-,36.1,32
S00089171,74,3,2,2,-,2,-,3,1,10,13,10,5,10,12,-,1,46.5,46
S00089172,64,5,2,3,4,-,1,1,6,7,17,4,4,5,4,1,-,35.2,31
S00089173,139,8,2,2,8,3,2,3,7,7,24,45,8,9,6,5,-,41.7,46
S00089174,161,14,5,3,8,5,2,6,7,7,39,32,5,19,8,1,-,38.2,39
S00089175,124,13,1,1,6,1,3,5,11,19,25,19,1,13,5,1,-,35.4,30
S00089176,102,5,3,1,7,-,1,3,10,5,22,32,4,6,3,-,-,38.4,40
S00089177,129,5,5,1,8,5,1,1,9,5,23,42,6,5,11,2,-,41.6,45
S00089178,149,11,8,1,9,3,1,1,7,9,33,29,10,11,14,2,-,40.3,39
S00089179,172,8,2,3,13,3,4,7,12,7,31,38,13,13,17,1,-,41.6,43
S00089180,134,2,1,3,4,3,6,4,10,9,14,43,6,19,8,2,-,44.4,47
S00089181,101,6,1,-,10,1,2,2,7,9,15,22,2,12,11,-,1,42.1,43
S00089182,114,5,2,2,9,3,4,4,7,7,25,28,9,6,1,2,-,37.6,39
S00089183,98,7,1,-,8,1,7,3,5,11,18,20,3,10,4,-,-,36.6,36
S00089184,137,5,5,6,14,4,11,2,5,1,24,44,5,4,5,1,1,36.5,42
S00089185,136,6,1,6,8,2,6,2,7,1,20,46,5,13,9,3,1,43.8,49
S00089186,114,13,6,1,2,2,1,1,7,8,32,25,7,4,2,3,-,36.4,36
S00089187,67,3,-,1,-,-,-,1,5,21,12,10,1,5,4,2,2,41.6,34
S00089188,146,1,3,1,10,-,5,3,6,11,32,35,9,16,10,4,-,45.0,45
S00089189,152,9,2,3,6,5,2,3,6,8,34,37,10,12,12,1,2,42.8,44
S00089190,113,3,4,-,3,1,3,3,11,12,21,35,8,4,2,2,1,40.1,39
S00089191,137,9,1,4,1,-,1,3,14,17,41,24,10,7,5,-,-,37.2,33
S00089192,111,3,3,-,4,3,1,1,8,19,42,18,5,2,2,-,-,35.0,33
S00089193,132,5,4,-,-,1,-,-,20,20,45,30,2,3,-,1,1,35.2,34
S00089194,153,4,1,1,9,1,6,3,3,6,21,32,17,15,17,8,9,52.1,53
S00089195,135,6,4,1,13,4,5,4,7,4,23,39,8,11,5,-,1,39.8,44
S00089196,119,2,3,7,10,1,2,3,2,6,26,32,8,10,5,1,1,41.2,43
S00089197,116,6,2,1,10,-,4,-,7,3,23,33,6,14,4,2,1,42.7,46
S00089198,83,-,2,1,2,-,-,-,5,10,19,18,9,5,6,4,2,48.9,51
S00089199,100,4,7,5,11,1,2,2,6,3,22,23,9,3,2,-,-,34.4,38
S00089200,69,8,2,1,1,1,2,1,3,1,14,16,7,4,6,1,1,42.2,45
S00089201,98,6,-,1,8,2,4,3,6,3,14,24,10,5,11,1,-,42.2,46
