,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S00089278,20,-,-,-,2,-,-,2,9,7,-,-,-,-
S00089279,53,13,2,11,12,10,3,2,4,3,2,2,-,4
S00089280,44,8,1,7,8,11,1,3,8,2,-,-,-,3
S00089281,67,13,3,10,21,5,2,3,8,3,3,2,1,9
S00089282,45,14,1,13,8,8,3,1,6,3,2,1,1,-
S00089283,44,10,1,9,9,9,1,3,1,3,-,-,-,8
S00089284,85,4,-,4,35,11,7,4,12,6,3,1,2,3
S00089285,116,33,2,31,34,13,6,7,8,5,1,1,-,9
S00089286,99,14,-,14,17,15,3,9,5,9,-,-,-,27
S00089287,50,4,-,4,9,16,7,2,6,6,-,-,-,-
S00089288,124,4,-,4,13,9,5,4,11,11,5,4,1,62
S00089289,92,3,-,3,8,10,5,16,22,14,6,6,-,8
S00089290,50,2,1,1,10,8,4,6,5,6,2,2,-,7
S00089291,69,4,3,1,16,8,2,7,11,15,2,1,1,4
S00089292,69,4,1,3,6,8,2,14,12,9,4,2,2,10
S00089293,126,6,-,6,27,12,6,13,19,13,4,3,1,26
S00089294,123,8,1,7,22,17,5,9,20,9,-,-,-,33
S00089295,133,6,2,4,18,13,4,13,33,24,4,2,2,18
S00089296,125,6,1,5,17,15,8,11,21,17,10,7,3,20
S00089297,66,4,-,4,8,9,6,6,11,10,6,4,2,6
S00089298,81,10,-,10,6,6,2,8,17,12,2,2,-,18
S00089299,36,1,-,1,4,2,1,3,9,10,2,-,2,4
S00089300,76,1,-,1,11,7,-,15,14,13,2,1,1,13
S00089301,87,5,1,4,16,11,8,8,11,15,5,4,1,8
S00089302,83,3,1,2,12,8,3,10,22,13,2,1,1,10
S00089303,146,8,2,6,16,15,1,13,30,20,6,2,4,37
S00089304,121,9,-,9,13,10,4,17,14,24,7,6,1,23
S00089305,53,1,-,1,6,9,2,9,10,7,2,2,-,7
S00089306,93,8,1,7,9,9,-,5,16,17,8,8,-,21
S00089307,68,2,1,1,7,6,6,8,14,14,2,-,2,9
S00089308,51,4,-,4,6,6,2,4,5,13,4,2,2,7
S00089309,115,6,1,5,12,13,4,10,20,22,8,5,3,20
S00089310,133,3,-,3,15,5,3,13,29,31,3,2,1,31
S00089311,79,5,-,5,13,11,2,5,17,23,-,-,-,3
S00089312,120,27,8,19,24,19,5,5,11,8,1,1,-,20
S00089313,99,23,2,21,30,14,6,6,6,6,3,3,-,5
S00089314,111,25,2,23,36,12,1,6,11,5,2,2,-,13
S00089315,79,16,3,13,24,13,4,6,6,3,-,-,-,7
