,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S00089503,62,2,0,57,0,1,0,0,2
S00089504,59,3,0,55,0,0,0,0,1
S00089505,64,4,0,59,0,0,0,0,1
S00089506,88,0,1,47,0,0,1,19,20
S00089507,93,3,1,57,0,0,5,16,11
S00089508,107,8,1,71,1,0,1,11,14
S00089509,51,6,2,38,0,0,1,2,2
S00089510,128,6,1,68,0,0,4,41,8
S00089511,88,6,0,59,0,0,2,12,9
S00089512,58,4,0,46,0,0,0,1,7
S00089513,126,7,2,84,0,2,7,4,20
S00089514,103,4,0,79,0,0,0,9,11
S00089515,268,23,2,132,2,15,17,29,48
S00089516,107,11,4,63,0,0,4,1,24
S00089517,73,6,0,48,0,0,0,11,8
S00089518,171,9,0,132,0,0,1,19,10
S00089519,118,10,0,100,0,0,0,5,3
S00089520,91,4,0,86,0,0,1,0,0
S00089521,131,5,1,115,0,0,4,0,6
S00089522,116,8,1,98,0,0,0,7,2
S00089523,101,5,1,84,0,0,1,3,7
S00089524,99,11,1,86,0,0,0,0,1
S00089525,78,1,2,70,0,0,2,3,0
S00089526,109,6,0,89,0,0,0,8,6
S00089527,107,7,0,97,0,1,1,0,1
S00089528,91,4,0,82,0,0,1,0,4
S00089529,118,4,0,98,0,0,0,2,14
S00089530,67,3,0,56,0,0,1,0,7
S00089531,82,4,0,70,0,1,2,1,4
S00089532,110,4,2,92,0,1,1,4,6
S00089533,79,5,0,65,0,0,1,0,8
S00089534,120,6,1,101,0,0,2,1,9
S00089535,86,6,0,58,0,0,1,5,16
S00089536,114,6,0,99,1,0,2,0,6
S00089537,76,8,0,61,1,0,0,4,2
S00089538,88,4,1,71,0,1,1,8,2
S00089539,79,5,0,58,0,2,0,7,7
S00089540,97,8,0,84,0,0,2,0,3
S00089541,96,5,0,73,0,0,0,10,8
S00089542,124,8,0,100,0,2,0,3,11
